선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
김대우,삼성,2.08,4,1,0,0,0,1.000,4 1/3,4,0,0,0,5,1,1,0.92
김무신,삼성,5.91,37,3,3,0,3,0.500,35,39,2,22,2,32,29,23,1.74
김서준,삼성,10.13,3,0,0,0,0,-,2 2/3,6,1,4,1,2,4,3,3.75
김승현,삼성,11.25,6,0,1,0,2,0.000,4,6,2,4,0,5,7,5,2.5
노건우,삼성,4.5,3,0,0,0,0,-,2,2,0,3,0,2,1,1,2.5
문용익,삼성,3.35,39,1,2,1,2,0.333,37 2/3,31,2,22,2,23,20,14,1.41
박세웅,삼성,6.75,5,0,0,0,0,-,2 2/3,1,0,5,1,2,2,2,2.25
박정준,삼성,6.3,8,0,0,0,0,-,10,10,2,5,1,4,7,7,1.5
박주혁,삼성,1.35,8,0,0,0,0,-,6 2/3,5,1,4,0,3,3,1,1.35
백정현,삼성,5.27,24,4,13,0,0,0.235,124 2/3,154,22,37,9,70,76,73,1.53
뷰캐넌,삼성,3.04,26,11,8,0,0,0.579,160,176,10,39,8,117,61,54,1.34
수아레즈,삼성,2.49,30,6,8,0,0,0.429,173 2/3,151,7,50,4,159,61,48,1.16
양창섭,삼성,8.41,6,2,3,0,0,0.400,20 1/3,24,3,12,1,10,19,19,1.77
오승환,삼성,3.32,57,6,2,31,2,0.750,57,59,8,13,1,51,23,21,1.26
우규민,삼성,3.26,60,4,3,1,16,0.571,47,55,3,6,4,31,21,17,1.3
원태인,삼성,3.92,27,10,8,0,0,0.556,165 1/3,175,16,38,4,130,75,72,1.29
이상민,삼성,3.68,46,0,0,0,9,-,29 1/3,30,5,15,3,23,13,12,1.53
이수민,삼성,5.79,4,0,0,0,0,-,4 2/3,3,1,5,1,2,3,3,1.71
이승민,삼성,1.69,2,0,0,0,0,-,5 1/3,2,0,5,0,2,1,1,1.31
이승현,삼성,4.53,58,2,4,1,14,0.333,47 2/3,43,5,21,3,57,28,24,1.34
이승현,삼성,4.68,54,0,2,0,13,0.000,50,48,5,22,3,39,26,26,1.4
이재익,삼성,5.94,42,3,2,0,7,0.600,33 1/3,41,4,9,1,21,25,22,1.5
임대한,삼성,5.27,12,2,1,0,1,0.667,13 2/3,12,1,9,1,8,11,8,1.54
장필준,삼성,5.7,19,0,3,0,0,0.000,30,38,1,15,3,17,20,19,1.77
최충연,삼성,4.7,38,0,1,0,0,0.000,38 1/3,39,3,20,5,29,24,20,1.54
최하늘,삼성,6.15,14,1,4,0,1,0.200,33 2/3,42,5,15,2,18,23,23,1.69
허윤동,삼성,6.55,12,4,3,0,0,0.571,55,64,8,34,6,36,43,40,1.78
홍정우,삼성,3.04,26,5,2,0,1,0.714,26 2/3,19,3,13,0,20,10,9,1.2
황동재,삼성,7.06,16,1,3,0,0,0.250,66 1/3,91,9,31,0,53,58,52,1.84
